ex_dividend_date,declaration_date,record_date,payment_date,amount
2005-03-22,None,None,None,0.015
2004-12-22,None,None,None,0.015
2004-09-22,None,None,None,0.03
2004-06-30,None,None,None,0.03
2004-03-31,None,None,None,0.03
2003-12-30,None,None,None,0.03
2003-10-01,None,None,None,0.03
2003-07-09,None,None,None,0.03
2003-04-02,None,None,None,0.03
2002-12-31,None,None,None,0.03
2002-10-02,None,None,None,0.03
2002-07-02,None,None,None,0.03
2002-04-02,None,None,None,0.06
2002-01-02,None,None,None,0.06
2001-10-03,None,None,None,0.06
2001-07-03,None,None,None,0.06
2001-04-04,None,None,None,0.06
2001-01-03,None,None,None,0.06
2000-10-04,None,None,None,0.06
2000-07-05,None,None,None,0.06
2000-04-05,None,None,None,0.06
2000-01-10,None,None,None,0.06
1999-10-06,None,None,None,0.06
1999-07-07,None,None,None,0.06
1999-04-07,None,None,None,0.06
1999-01-06,None,None,None,0.06
